Model,RMSE,MAE,MAPE
RE-015,4.181645394581393,3.195102716084743,20.059956168205854
RE-004,4.165755497459015,3.182115576101281,19.362736583469793
RE-007,4.021069497747789,3.0440816799062196,19.6523817135725
RE-017,3.98640042285429,3.0311203168964482,17.328138367327377
RE-025,3.9834941933609107,2.9408510663581393,16.805683136039196
SN-028,3.9066402610194233,2.992836298832848,18.593216671287337
SN-030,3.8658829843918765,2.926453275640812,18.608133405824123
SN-010,3.8378527597839422,2.9262040652379926,18.424478950144653
MI-002,3.7848989144549314,2.8466564767541893,20.402165480363173
MI-026,3.7709871777237476,2.788710345845453,19.06953748529746
MI-023,3.714093746047536,2.8008128498982163,19.50820889877288
SN-019,3.661638624194381,2.7398119460530785,17.867387925827035
YO-024,3.638160238319952,2.746102163641298,19.52048499758089
YO-012,3.5589368525107963,2.691287758712387,20.065153081295925
YO-003,3.519921429617185,2.68727705352395,20.289555358978184
YO-005,3.5127324313333492,2.5942015523080855,18.771914750948845
YO-020,3.5078868572445816,2.652919548449546,19.289154693879755
YO-018,3.441240634562488,2.571074839902452,19.25663211468241
SN-027,3.4361197544469624,2.6016043457797897,21.392539327555088
YO-001,3.365560146553975,2.5094752565356213,24.55822176902628
YO-016,3.3607537549122055,2.541406963588008,19.654384016603004
SN-013,3.337214717008324,2.450181053469116,20.531066486512763
YO-029,3.333153189494834,2.5085823259638396,18.166761205804598
YO-009,3.278458792775374,2.5258409830230963,17.945759278652957
MI-008,3.227326036774725,2.3340801493276997,22.335874200762532
YO-014,3.1511389195196657,2.3209429749255936,22.727996525410063
MI-022,3.081456773573911,2.284499074834934,22.37152234061831
MI-011,3.044896479760011,2.271417571652136,21.065181605778267
JU-021,2.970010756394558,2.233916806457926,23.224789901282552
MI-006,2.9572627957387514,2.1626634603853923,19.97615762221348
